Order_Date,Country,Product,Sales,Profit,Discount
2022-01-01,USA,Keyboard,4336.12,908.77,0.0
2022-01-01,USA,Keyboard,3868.93,539.88,0.0
2022-01-01,USA,Keyboard,3953.01,806.24,5.0
2022-01-01,USA,Keyboard,3775.25,877.49,0.0
2022-01-01,USA,Keyboard,4027.08,740.92,0.0
2022-01-01,USA,Keyboard,4505.74,722.79,0.0
2022-01-01,USA,Headphones,5106.34,1045.35,0.0
2022-01-01,USA,Tablet,31802.88,4743.27,10.0
2022-01-01,USA,Chair,10416.09,1953.8,0.0
2022-01-01,USA,Laptop,77497.09,12427.85,5.0
2022-01-01,USA,Monitor,19355.54,4477.12,0.0
2022-01-01,USA,Mobile,38322.650526315796,7343.870526315788,3.1578947368421053
2022-01-01,India,Keyboard,2079.82,432.67,0.0
2022-01-01,India,Keyboard,2474.37,454.88,5.0
2022-01-01,India,Keyboard,2109.68,411.78,0.0
2022-01-01,India,Keyboard,2584.7,471.28,0.0
2022-01-01,India,Headphones,3531.39,592.44,10.0
2022-01-01,India,Headphones,3160.05,639.17,5.0
2022-01-01,India,Tablet,17983.72,2979.67,0.0
2022-01-01,India,Tablet,21903.31,4100.01,0.0
2022-01-01,India,Chair,5924.14,1070.31,5.0
2022-01-01,India,Laptop,43238.9,8756.56,0.0
2022-01-01,India,Monitor,11932.76,1676.74,0.0
2022-01-01,India,Monitor,10964.34,1748.8,10.0
2022-01-01,India,Mobile,21850.63045454545,3911.448181818181,4.318181818181818
2022-01-01,Germany,Keyboard,3927.81,839.2,10.0
2022-01-01,Germany,Keyboard,3428.92,800.16,0.0
2022-01-01,Germany,Keyboard,3476.12,502.55,5.0
2022-01-01,Germany,Headphones,4649.403809523809,888.377857142857,3.5714285714285716
2022-01-01,Germany,Tablet,28337.8,3899.78,5.0
2022-01-01,Germany,Chair,8624.7,2016.4,0.0
2022-01-01,Germany,Chair,8769.5,1939.2,5.0
2022-01-01,Germany,Laptop,72934.26,14967.21,0.0
2022-01-01,Germany,Monitor,19951.17,3195.55,15.0
2022-01-01,Germany,Mobile,35518.66235294118,6487.092941176471,3.235294117647059
2022-01-01,UK,Keyboard,3636.46,538.63,5.0
2022-01-01,UK,Keyboard,3351.88,630.58,0.0
2022-01-01,UK,Keyboard,2976.78,407.81,0.0
2022-01-01,UK,Keyboard,3794.42,630.02,5.0
2022-01-01,UK,Headphones,4429.76,737.33,0.0
2022-01-01,UK,Tablet,31367.32,4646.72,5.0
2022-01-01,UK,Chair,8617.65,1307.54,15.0
2022-01-01,UK,Laptop,63107.90352941177,11020.369411764706,3.235294117647059
2022-01-01,UK,Monitor,15986.569599999999,3008.3344000000006,4.4
2022-01-01,UK,Mobile,32013.64111111111,5611.298888888889,5.0
2022-01-01,France,Keyboard,3069.52,409.32,15.0
2022-01-01,France,Keyboard,3267.64,490.0,0.0
2022-01-01,France,Headphones,4227.19,907.73,0.0
2022-01-01,France,Headphones,4166.41,936.3,15.0
2022-01-01,France,Tablet,26194.12692307692,4799.28076923077,3.4615384615384617
2022-01-01,France,Chair,7281.571904761905,1328.667619047619,3.5714285714285716
2022-01-01,France,Laptop,62427.13318181818,11625.681363636364,5.454545454545454
2022-01-01,France,Monitor,18944.3,2484.81,0.0
2022-01-01,France,Mobile,31026.610833333336,5533.805833333333,3.3333333333333335
2022-01-01,Japan,Keyboard,3768.22,833.12,15.0
2022-01-01,Japan,Headphones,5508.92,954.34,10.0
2022-01-01,Japan,Headphones,5795.02,1280.52,0.0
2022-01-01,Japan,Headphones,5414.39,931.69,15.0
2022-01-01,Japan,Tablet,34138.63,5347.49,5.0
2022-01-01,Japan,Chair,9551.83,2016.2,0.0
2022-01-01,Japan,Laptop,75323.25391304349,14882.176521739128,7.608695652173913
2022-01-01,Japan,Monitor,18884.13393939394,3608.3324242424237,4.696969696969697
2022-01-01,Japan,Mobile,37578.63285714285,6583.327142857142,5.714285714285714
2022-01-01,Canada,Keyboard,3472.63,530.78,0.0
2022-01-01,Canada,Headphones,4114.922631578948,769.7836842105263,3.8157894736842106
2022-01-01,Canada,Tablet,25760.15,6056.01,15.0
2022-01-01,Canada,Chair,8356.94,1890.49,0.0
2022-01-01,Canada,Laptop,60924.858888888884,11464.384444444448,5.555555555555555
2022-01-01,Canada,Monitor,15767.560000000001,3221.4844444444443,3.888888888888889
2022-01-01,Canada,Mobile,33143.675,5351.85625,3.125
2022-01-01,Australia,Keyboard,3056.39,671.97,5.0
2022-01-01,Australia,Headphones,4178.47918918919,794.5421621621621,2.8378378378378377
2022-01-01,Australia,Tablet,28176.99,5414.37,10.0
2022-01-01,Australia,Chair,7445.11,1631.52,0.0
2022-01-01,Australia,Laptop,63429.26875,11964.23,1.875
2022-01-01,Australia,Monitor,17653.34,3051.61,0.0
2022-01-01,Australia,Mobile,32545.28714285714,6576.325714285713,2.857142857142857
2022-01-01,Brazil,Keyboard,2933.18,612.07,5.0
2022-01-01,Brazil,Headphones,3607.78,636.19,10.0
2022-01-01,Brazil,Headphones,4287.18,582.14,0.0
2022-01-01,Brazil,Tablet,22008.20533333333,4268.387333333333,2.0
2022-01-01,Brazil,Chair,6677.41,895.99,0.0
2022-01-01,Brazil,Laptop,53627.65818181818,9287.109999999999,5.909090909090909
2022-01-01,Brazil,Monitor,12970.84,2129.22,5.0
2022-01-01,Brazil,Monitor,13772.24,2931.93,0.0
2022-01-01,Brazil,Mobile,26672.11,5072.91,0.0
2022-01-01,UAE,Keyboard,4575.49,759.54,10.0
2022-01-01,UAE,Headphones,5977.686666666666,1138.3372222222222,4.166666666666667
2022-01-01,UAE,Tablet,37373.32,7137.320000000001,3.75
2022-01-01,UAE,Chair,10245.3505,1921.1185,6.0
2022-01-01,UAE,Laptop,93134.11,18428.96,0.0
2022-01-01,UAE,Monitor,21981.15,4501.281999999999,8.0
2022-01-01,UAE,Mobile,45366.73375000001,9357.585,2.5
2022-01-02,USA,Keyboard,4454.58,960.25,0.0
2022-01-02,USA,Keyboard,4485.81,915.64,0.0
2022-01-02,USA,Headphones,5586.94,1094.53,15.0
2022-01-02,USA,Headphones,5224.86,980.22,5.0
2022-01-02,USA,Headphones,5111.38,1138.27,0.0
2022-01-02,USA,Headphones,5035.52,1174.26,10.0
2022-01-02,USA,Tablet,30753.92608695652,5552.36652173913,5.869565217391305
2022-01-02,USA,Chair,8928.645813953488,1680.2660465116276,5.5813953488372094
2022-01-02,USA,Laptop,75962.47,10426.33,0.0
2022-01-02,USA,Monitor,18794.18,3761.1,0.0
2022-01-02,USA,Mobile,38322.650526315796,7343.870526315788,3.1578947368421053
2022-01-02,India,Keyboard,2351.43,425.84,0.0
2022-01-02,India,Headphones,2955.13,505.81,5.0
2022-01-02,India,Headphones,2802.06,380.28,10.0
2022-01-02,India,Tablet,18135.3905,3375.905,2.75
2022-01-02,India,Chair,5114.81,723.19,0.0
2022-01-02,India,Chair,5193.89,1103.27,15.0
2022-01-02,India,Laptop,51617.62,10784.99,10.0
2022-01-02,India,Laptop,49482.98,9944.73,0.0
2022-01-02,India,Monitor,13196.33,2346.33,5.0
2022-01-02,India,Monitor,12262.09,2237.99,10.0
2022-01-02,India,Mobile,23598.0,4990.52,5.0
2022-01-02,Germany,Keyboard,3332.97,667.95,0.0
2022-01-02,Germany,Headphones,5411.78,981.31,5.0
2022-01-02,Germany,Headphones,5244.19,1084.91,10.0
2022-01-02,Germany,Headphones,4839.33,874.15,0.0
2022-01-02,Germany,Tablet,29010.681875000002,5190.8925,5.0
2022-01-02,Germany,Chair,9643.77,1856.68,0.0
2022-01-02,Germany,Laptop,79729.59,11313.65,5.0
2022-01-02,Germany,Monitor,17608.54,3095.23,10.0
2022-01-02,Germany,Mobile,35518.66235294118,6487.092941176471,3.235294117647059
2022-01-02,UK,Keyboard,3214.34,766.45,0.0
2022-01-02,UK,Headphones,5048.91,934.59,5.0
2022-01-02,UK,Tablet,27302.470769230767,4922.304615384615,1.9230769230769231
2022-01-02,UK,Chair,7088.25,925.43,0.0
2022-01-02,UK,Chair,8781.73,1235.93,15.0
2022-01-02,UK,Laptop,63107.90352941177,11020.369411764706,3.235294117647059
2022-01-02,UK,Monitor,15846.8,3620.37,0.0
2022-01-02,UK,Mobile,32020.67,7577.92,0.0
2022-01-02,UK,Mobile,36151.17,6847.65,0.0
2022-01-02,France,Keyboard,3128.4930508474586,589.7976271186441,4.576271186440678
2022-01-02,France,Headphones,4670.99,1077.47,15.0
2022-01-02,France,Tablet,26298.0,5450.37,0.0
2022-01-02,France,Chair,7281.571904761905,1328.667619047619,3.5714285714285716
2022-01-02,France,Laptop,60603.33,11238.09,0.0
2022-01-02,France,Monitor,18794.43,4288.47,5.0
2022-01-02,France,Monitor,18554.2,4449.31,10.0
2022-01-02,France,Mobile,31026.610833333336,5533.805833333333,3.3333333333333335
2022-01-02,Japan,Keyboard,3700.16,632.41,0.0
2022-01-02,Japan,Keyboard,3805.86,892.3,0.0
2022-01-02,Japan,Keyboard,4254.28,880.84,0.0
2022-01-02,Japan,Headphones,5217.56,1197.65,0.0
2022-01-02,Japan,Tablet,31545.02,7348.81,5.0
2022-01-02,Japan,Chair,8746.25911764706,1643.4347058823532,3.088235294117647
2022-01-02,Japan,Laptop,80421.99,12408.74,0.0
2022-01-02,Japan,Monitor,19733.5,3313.5,0.0
2022-01-02,Japan,Mobile,37578.63285714285,6583.327142857142,5.714285714285714
2022-01-02,Canada,Keyboard,3584.34,583.91,0.0
2022-01-02,Canada,Headphones,4394.8,684.46,0.0
2022-01-02,Canada,Tablet,26425.12375,5521.356250000001,3.125
2022-01-02,Canada,Chair,7430.077333333333,1418.8446666666669,3.3333333333333335
2022-01-02,Canada,Laptop,65461.37,15606.43,0.0
2022-01-02,Canada,Monitor,15767.560000000001,3221.4844444444443,3.888888888888889
2022-01-02,Canada,Mobile,33143.675,5351.85625,3.125
2022-01-02,Australia,Keyboard,3611.86,744.79,0.0
2022-01-02,Australia,Headphones,4592.9,1072.26,5.0
2022-01-02,Australia,Tablet,26642.534444444445,4769.507777777778,5.555555555555555
2022-01-02,Australia,Chair,7242.88,1589.43,0.0
2022-01-02,Australia,Laptop,63429.26875,11964.23,1.875
2022-01-02,Australia,Monitor,15692.55,3698.68,0.0
2022-01-02,Australia,Monitor,17841.75,3930.06,5.0
2022-01-02,Australia,Mobile,32545.28714285714,6576.325714285713,2.857142857142857
2022-01-02,Brazil,Keyboard,3165.43,435.18,15.0
2022-01-02,Brazil,Headphones,3662.7518918918922,702.5954054054054,4.864864864864865
2022-01-02,Brazil,Tablet,22008.20533333333,4268.387333333333,2.0
2022-01-02,Brazil,Chair,6289.483181818182,1121.1845454545457,4.545454545454546
2022-01-02,Brazil,Laptop,61881.78,8328.96,5.0
2022-01-02,Brazil,Monitor,16092.29,2968.29,0.0
2022-01-02,Brazil,Monitor,12678.29,1828.18,10.0
2022-01-02,Brazil,Monitor,14293.43,2356.73,0.0
2022-01-02,Brazil,Mobile,27860.865555555556,5012.7683333333325,3.888888888888889
2022-01-02,UAE,Keyboard,4645.77,603.95,0.0
2022-01-02,UAE,Headphones,5559.0,1315.37,15.0
2022-01-02,UAE,Headphones,6357.46,1153.05,0.0
2022-01-02,UAE,Tablet,37373.32,7137.320000000001,3.75
2022-01-02,UAE,Chair,10245.3505,1921.1185,6.0
2022-01-02,UAE,Laptop,94122.9225,16498.61,3.125
2022-01-02,UAE,Monitor,21981.15,4501.281999999999,8.0
2022-01-02,UAE,Mobile,45366.73375000001,9357.585,2.5
2022-01-03,USA,Keyboard,3766.84,903.14,5.0
2022-01-03,USA,Keyboard,4059.79,583.08,0.0
2022-01-03,USA,Headphones,4946.53,659.51,0.0
2022-01-03,USA,Headphones,5204.99,1149.09,5.0
2022-01-03,USA,Headphones,4775.52,998.33,0.0
2022-01-03,USA,Tablet,29078.03,6027.16,10.0
2022-01-03,USA,Chair,8586.55,1917.77,0.0
2022-01-03,USA,Laptop,74756.49529411765,14073.431176470585,3.823529411764706
2022-01-03,USA,Monitor,19209.250357142857,3753.1792857142855,5.0
2022-01-03,USA,Mobile,40563.34,8727.83,0.0
2022-01-03,India,Keyboard,2151.13,348.77,0.0
2022-01-03,India,Keyboard,2036.64,355.59,15.0
2022-01-03,India,Keyboard,2126.21,321.84,5.0
2022-01-03,India,Keyboard,2240.63,511.21,0.0
