Order_Date,Country,Product,Category,Sales,Profit,Discount,Quantity
2024-01-15,India,Laptop,Electronics,52000,4800,5,2
2024-02-15,India,Mobile,Electronics,24000,3500,8,4
2024-03-15,India,Chair,Furniture,9000,1500,6,5
2024-04-15,India,Table,Furniture,14000,2600,7,3
2024-05-15,India,Headphones,Accessories,4000,700,5,6
2024-06-15,India,Laptop,Electronics,58000,6200,4,2

2024-01-15,USA,Laptop,Electronics,65000,7000,6,2
2024-02-15,USA,Mobile,Electronics,30000,4500,7,5
2024-03-15,USA,Chair,Furniture,12000,2200,5,4
2024-04-15,USA,Table,Furniture,18000,3500,6,3
2024-05-15,USA,Headphones,Accessories,5000,900,4,7
2024-06-15,USA,Laptop,Electronics,70000,8200,5,2

2024-01-15,UK,Mobile,Electronics,28000,4200,6,4
2024-02-15,UK,Chair,Furniture,10000,1800,5,3
2024-03-15,UK,Table,Furniture,16000,3000,6,2
2024-04-15,UK,Laptop,Electronics,62000,6800,5,2
2024-05-15,UK,Headphones,Accessories,4500,800,4,6
2024-06-15,UK,Mobile,Electronics,31000,4600,6,5
